,title,rating,rating_count,length,level,genre_1,genre_2,genre_3,start_year,episodes,top_ep,sec_ep,thd_ep,popularity,awards_1,awards_2,x0_,x0_TV-14,x0_TV-G,x0_TV-MA,x0_TV-PG,x0_TV-Y,x0_TV-Y7,x0_TV-Y7-FV,x1_Action,x1_Adventure,x1_Animation,x1_Biography,x1_Comedy,x1_Crime,x1_Drama,x2_Action,x2_Adventure,x2_Comedy,x2_Crime,x2_Drama,x2_Family,x2_Fantasy,x2_Horror,x2_Mystery,x2_N/A,x2_Romance,x2_Short,x2_Sport,x3_Action,x3_Adventure,x3_Comedy,x3_Crime,x3_Drama,x3_Family,x3_Fantasy,x3_Horror,x3_Music,x3_Mystery,x3_N/A,x3_Romance,x3_Sci-Fi,x3_Thriller,score,isGood,quick,short,medium,long,series,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Horror,Mystery,Romance,Short,Sport,Music,Sci-Fi,Thriller
35,Master of None,8.3,66706,30,TV-MA,Comedy,Drama,,2015,20,9.5,9.4,9.3,1038,Won 1 Golden Globe.,Another 15 wins & 64 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
36,Modern Love,8.0,21652,32,TV-MA,Comedy,Romance,,2019,13,8.4,8.4,8.3,643,Nominated for 1 Primetime Emmy.,Another 2 wins & 6 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
37,Narcos,8.8,361887,49,TV-MA,Biography,Crime,Drama,2015,30,9.5,9.4,9.4,169,Nominated for 2 Golden Globes.,Another 8 wins & 16 nominations.,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,79,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
38,Pair of Kings,5.8,3484,22,TV-Y7,Comedy,Family,Fantasy,2010,69,9.5,9.4,9.4,1653,Nominated for 2 Primetime Emmys.,Another 2 wins & 1 nomination.,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,87,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
39,Parks and Recreation,8.6,216811,22,TV-14,Comedy,,,2009,124,9.6,9.6,9.4,74,Won 1 Golden Globe.,Another 24 wins & 147 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,84,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40,Phineas and Ferb,8.0,35742,15,TV-G,Animation,Short,Action,2007,130,9.4,9.4,9.2,973,Won 3 Primetime Emmys.,Another 1 win & 40 nominations.,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,Psych,8.3,85852,44,TV-PG,Comedy,Crime,Mystery,2006,121,9.6,9.5,9.5,202,Nominated for 1 Primetime Emmy.,Another 5 wins & 30 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,82,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
42,Rick and Morty,9.2,381184,23,TV-MA,Animation,Adventure,Comedy,2013,42,9.8,9.6,9.6,133,Won 2 Primetime Emmys.,Another 15 wins & 25 nominations.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,Riverdale,6.9,121007,45,TV-14,Crime,Drama,Mystery,2017,89,9.3,9.1,8.9,56,,33 wins & 52 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
44,Sex Education,8.3,162100,45,TV-MA,Comedy,Drama,,2019,23,9.0,8.7,8.7,146,,7 wins & 26 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
45,Sherlock,9.1,814339,88,TV-14,Crime,Drama,Mystery,2010,15,9.7,9.5,9.3,118,Nominated for 1 Golden Globe.,Another 91 wins & 182 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
46,Silicon Valley,8.5,127679,28,TV-MA,Comedy,,,2014,53,9.4,9.3,9.2,389,Nominated for 2 Golden Globes.,Another 15 wins & 92 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,SpongeBob SquarePants,8.2,84470,23,TV-Y,Animation,Comedy,Family,1999,275,9.8,9.6,9.6,457,Nominated for 10 Primetime Emmys.,Another 53 wins & 51 nominations.,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
48,Stranger Things,8.7,834953,51,TV-14,Drama,Fantasy,Horror,2016,34,9.4,9.4,9.3,42,Nominated for 4 Golden Globes.,Another 73 wins & 208 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,73,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
49,The 100,7.6,218893,43,TV-14,Drama,Mystery,Sci-Fi,2014,100,9.6,9.3,9.3,96,Nominated for 1 Primetime Emmy.,Another 9 wins & 38 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,80,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
50,The Blacklist,8.0,200541,43,TV-14,Crime,Drama,Mystery,2013,165,9.4,9.3,9.3,11,Nominated for 2 Golden Globes.,Another 2 wins & 27 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
51,The Boondocks,8.4,26927,22,TV-MA,Animation,Action,Comedy,2005,56,9.3,9.0,9.0,1172,,5 wins & 5 nominations.,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,The Boys,8.7,255968,60,TV-MA,Action,Comedy,Crime,2019,24,9.5,9.1,9.1,39,Nominated for 1 Primetime Emmy.,Another 6 wins & 20 nominations.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,89,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
53,The End of the F***ing World,8.1,148568,25,TV-MA,Adventure,Comedy,Crime,2017,16,9.1,8.8,8.8,544,Nominated for 2 Primetime Emmys.,Another 9 wins & 13 nominations.,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
54,The Finder,7.7,14754,44,TV-14,Comedy,Crime,Drama,2012,13,8.7,8.3,8.2,1904,,2 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,43,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
55,The Good Place,8.2,117705,22,TV-PG,Comedy,Drama,Fantasy,2016,50,9.6,9.5,9.1,231,Nominated for 2 Golden Globes.,Another 25 wins & 124 nominations.,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,86,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
56,The Haunting of Hill House,8.6,185272,572,TV-MA,Drama,Horror,Mystery,2018,10,9.5,9.4,8.9,363,,10 wins & 32 nominations.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,71,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
57,The Indian Detective,6.5,2744,44,TV-MA,Comedy,Crime,Drama,2017,4,7.5,7.4,7.3,4000,,1 win & 1 nomination.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
58,The League,8.2,43980,22,TV-MA,Comedy,Sport,,2009,84,8.7,8.7,8.7,778,,1 nomination.,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,90,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
59,The Office,8.9,422730,22,TV-14,Comedy,,,2005,188,9.8,9.8,9.7,21,Won 1 Golden Globe.,Another 50 wins & 193 nominations.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,The Suite Life of Zack & Cody,6.5,32956,30,TV-G,Comedy,Family,,2005,87,8.4,8.1,8.0,1225,Nominated for 3 Primetime Emmys.,Another 8 wins & 20 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61,The Suite Life on Deck,6.3,16284,30,TV-G,Action,Adventure,Comedy,2008,71,8.6,8.0,8.0,1808,,6 wins & 5 nominations.,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,Victorious,6.9,20508,25,TV-G,Comedy,Drama,Family,2010,58,8.8,8.8,8.4,528,Nominated for 4 Primetime Emmys.,Another 4 wins & 24 nominations.,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,82,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
